id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
11,Kokią reikšmę turi šie kelio ženklai?,"Stovėti draudžiama 20 m zonoje į priekį toje kelio pusėje, kurioje pastatyti kelio ženklai.","Stovėti draudžiama už 20 m toje kelio pusėje, kurioje pastatyti kelio ženklai.",,,1,1,"Kelio ženklas 333 - Stovėti draudžiama (Draudžiama transporto priemonėms stovėti toje kelio pusėje, kurioje yra ženklas. Negalioja skiriamuoju ženklu „Asmuo su negalia“ arba asmens su negalia automobilio statymo kortele pažymėtoms transporto priemonėms ir taksi su įjungtu taksometru. Jeigu naudojamas kartu su 1.9 ženklinimo linija, galioja iki šios linijos pabaigos).
Kelio ženklas 806 - Galiojimo zona į priekį (Nurodo pavojingo kelio ruožo arba kitų kelio ženklų, su kuriais ji naudojama, galiojimo zonos ilgį už kelio ženklo)",11.jpg
12,"Ar leidžiama apvažiuoti ta pačia kryptimi važiuojančias transporto priemones iš dešinės, važiuojant lėtėjimo ar greitėjimo juosta?",Draudžiama visais atvejais.,"Leidžiama, tik sukančias į kairę arba apsisukančias transporto priemones.","Leidžiama, jei netrukdote eismui.","Leidžiama tik tas, kurios važiuoja lėčiau kaip 30 km/h.",2,2,"Draudžiama transporto priemonėms (išskyrus dviračius, elektrines mikrojudumo priemones) apvažiuoti ta pačia kryptimi važiuojančias transporto priemones iš dešinės (išskyrus leistiną sukančių į kairę, apsisukančių transporto priemonių apvažiavimą iš dešinės) važiuojant kelkraščiu, lėtėjimo ar greitėjimo juosta. Ta pačia kryptimi lėčiau važiuojančias transporto priemones rekomenduojama apvažiuoti iš kairės.",12.jpg
13,"Dviračių ir kitų transporto priemonių, priskirtų motorinio dviračio kategorijai (elektriniai paspirtukai, elektriniai riedžiai ir pan., kurių greitis iki 25 km/val., galia iki 1 kW), vairuotojai dalyvaudami eisme privalo vadovautis Kelių eismo taisyklėmis, skirtomis:",pėstiesiems eismo dalyviams.,dviratininkams.,motorinių transporto priemonių vairuotojams.,,2,1,"Taisyklėse nustatyti reikalavimai dviračių vairuotojams, kelio ženklai, kelio ženklinimas taip pat privalomi motorinių dviračių vairuotojams.",13.jpg
14,Ką reiškia šviesoforo baltas rodyklės formos signalas juodame fone?,Kad galima važiuoti tik tiesiai.,"Perspėja, kad šitoje gatvėje vienpusis eismas.","Perspėja, kad reikia vadovautis kelio ženklais.",Leidžia maršrutinio transporto eismą nurodyta kriptimi.,4,1,"KET 801 p. Šviesoforų, skirtų maršrutiniam transportui, balti signalai juodame fone turi šias reikšmes:
801.1. S formos signalas draudžia maršrutinio transporto eismą;
801.2. horizontalaus brūkšnio formos signalas draudžia maršrutinio transporto eismą (išskyrus Taisyklių 29 ir 166 punktuose nurodytus atvejus) ir informuoja, kad šviesoforo signalai pasikeis;
801.3. kartu įjungti S formos ir horizontalaus brūkšnio formos signalai draudžia maršrutinio transporto eismą ir informuoja, kad netrukus bus įjungtas rodyklės (rodyklių) formos signalas;
801.4. rodyklės (rodyklių) formos signalas leidžia maršrutinio transporto eismą nurodyta (nurodytomis) kryptimi (kryptimis).",14.jpg
15,Kokių kelio ženklų grupei priklauso šis ženklas?,Draudžiamųjų.,Nurodomųjų,Transporto priemonių skiriamųjų ir informacinių,Įspėjamųjų,3,1,"Autobusuose, kuriuose įrengti saugos diržai, priešais kiekvieną sėdynę arba ant autobuso sėdynės ar šalia jos matomoje vietoje turi būti pavaizduotas informacinis ženklas „Užsisek saugos diržą“. Ženklas yra mėlynos ir baltos spalvos, jo apskritimo skersmuo – 60 mm, o balto apvado plotis – 3 mm. ",15.jpg
16,"Kaip privalo važiuoti transporto priemonės, jeigu kelio važiuojamoji dalis ženklinimo linijomis padalinta į eismo juostas?","Nebūtinai eismo juostomis, jei juostos pločio neužtenka.","Nebūtinai eismo juostomis, jeigu nėra daugiau transporto priemonių.",Tik šiomis eismo juostomis. Užvažiuoti ant brūkšninės ženklinimo linijos leidžiama tik persirikiuojant.,,3,1,"Jeigu važiuojamoji dalis horizontaliojo ženklinimo linijomis ir (arba) kelio ženklais suskirstyta į eismo juostas, transporto priemonės turi važiuoti šiomis juostomis. Užvažiuoti ant brūkšninių horizontaliojo ženklinimo linijų leidžiama tik persirikiuojant į kitą eismo juostą, kirsti ištisines horizontaliojo ženklinimo linijas leidžiama tik Taisyklių 3 priede nurodytais atvejais. Jeigu yra ištisinė horizontaliojo ženklinimo linija (vienguba ar dviguba), skirianti priešingų krypčių eismo juostas, vairuotojas privalo važiuoti dešiniau nuo jos. Ištisines horizontaliojo ženklinimo linijas ir nukreipimo saleles taip pat leidžiama kirsti išskirtiniu atveju, kai tęsti važiavimo nekeičiant eismo juostos neįmanoma dėl stacionarios kliūties važiuojamojoje dalyje (nuvirtęs medis, įvykęs eismo įvykis, priverstinai sustojusi ar neleistinoje vietoje stovinti transporto priemonė ar kiti stacionarūs objektai, dėl kurių eismas neįmanomas), jeigu tai daryti saugu ir nekliudoma kitiems eismo dalyviams.",16.jpg
17,"Ką privalote daryti, jeigu priverstinai sustojote neapšviestame kelio ruože tamsiu paros metu, arba esant blogam matomumui, sugedus gabaritinėms ir stabdžių šviesoms?",Apsukti transporto priemonę ir įjungti artimųjų šviesų žibintus.,"Jeigu neįmanoma pastatyti automobilio už kelio ribų - įjungti avarinę šviesos signalizaciją, o jeigu jos nėra, arba ji sugedusi – pastatyti avarinio sustojimo ženklą.",Pažymėti automobilį ryškiomis vėliavėlėmis.,,2,2,"KET 92. Jeigu avarinės šviesos signalizacijos transporto priemonėje nėra arba ji sugedusi ir priverstinai sustojama, kur sustoti arba stovėti draudžiama, arba įvykus eismo įvykiui, taip pat jeigu priverstinai sustojama ten, kur sustojusią transporto priemonę kiti eismo dalyviai pamatytų likus iki jos mažiau kaip 100 m, motorinės transporto priemonės (išskyrus mopedą, motociklą be priekabos), traktoriaus, savaeigės mašinos vairuotojas privalo nedelsdamas prieš transporto priemonių važiavimo kryptį toje važiuojamosios dalies pusėje pastatyti avarinio sustojimo ženklą: gyvenvietėse – ne arčiau kaip 25 m atstumu, o ne gyvenvietėse – ne arčiau kaip 50 m atstumu nuo sustojusios transporto priemonės. Jei važiuojant tamsiuoju paros metu arba esant blogam matomumui sugedo bent viena galinė gabaritinė šviesa ir neveikia avarinė šviesos signalizacija, norint tęsti judėjimą transporto priemonės gale privalo būti pritvirtintas avarinio sustojimo ženklas.

KET 151. Priverstinai sustojęs ten, kur sustoti (stovėti) draudžiama, transporto priemonės vairuotojas privalo įjungti avarinę šviesos signalizaciją, jeigu tokia įrengta, ir (ar) pastatyti avarinio sustojimo ženklą, kaip nurodyta Taisyklių 92 punkte, ir kuo skubiau pašalinti transporto priemonę nuo kelio. Jeigu norima sustoti neapšviestame kelio ruože tamsiuoju paros metu arba esant blogam matomumui ir avarinės šviesos signalizacijos nėra arba ji sugedusi, transporto priemonė turi būti pastatyta už kelio ribų. Jeigu to negalima padaryti, vietą būtina pažymėti taip, kaip nurodyta Taisyklių 92 punkte.",17.jpg
18,Kokia tvarka važiuos automobiliai?,"Geltonas, mėlynas, raudonas.","Raudonas, geltonas, mėlynas","Mėlynas, geltonas, raudonas",,3,3,"Kadangi sankryža lygiareikšmė, vairuotojai turi laikytis važiavimo per lygiareikšmių kelių sankryžas taisyklių. Pirmasis važiuoja mėlynas automobilis, nes geltonas  automobilis sukdamas į kairę lygiareikšmių kelių sankryžoje privalo praleisti mėlyną automobilį važiuojantį priešinga kryptimi tiesiai. Antras važiuoja - geltonas, nes jam įvažiavus į sankryža nebelieka kliūties iš dešinės, o paskutinis raudonas, nes jam kliūtis iš dešinės buvo geltonas automobilis.",18.jpg
19,Sidabrinis automobilis pajuda iš stovėjimo vietos. Kuris automobilis turės pirmumą?,Geltonas automobilis.,Sidabrinis automobilis.,,,1,3,"Sidabrinis automobilis prieš pajudėdamas iš stovėjimo vietos, turi įsitikinti, kad nekliudys kitiems eismo dalyviams ir duoti kelią šiuo atveju geltonam automobiliui.",19.jpg
20,Ar leidžiama sukti į kairę nurodyta kryptimi dvipusio eismo kelyje?,Draudžiama.,Leidžiama.,,,2,2,"Kelio ženklas „Važiuoti tiesiai“. Leidžiama važiuoti tik tiesiai. Kelio ženklas, pastatytas kelio ruožo pradžioje, galioja iki artimiausios sankryžos, nedraudžia sukti į dešinę, kai norima įvažiuoti į šalia kelio esančias teritorijas. Kelio ženklas, pastatytas prieš sankryžą, galioja tik toje važiuojamųjų dalių sankirtoje, prieš kurią jis pastatytas. Kelio ženklo reikalavimai netaikomi maršrutiniam transportui.",20.jpg
21,Šis ženklas draudžia:,"Krovininių automobilių ir transporto priemonių junginių, kurių masė didesne nei 3,5 t., eismą už 3 km.",Visų transporto priemonių eismą už 3 km.,"Krovininių automobilių, kurių masė didesne nei 3,5 t., eismą nuo ženklo 3 kilometrus.",,1,2,"KET 1 pr. 304. Kelio ženklas „Krovininių automobilių eismas draudžiamas”. Draudžiama važiuoti krovininiais automobiliais ir transporto priemonių junginiais, kurių didžiausioji leidžiamoji masė didesnė kaip 3,5 t arba didesnė už nurodytąją kelio ženkle, taip pat traktoriais ir savaeigėmis mašinomis, išskyrus aptarnaujantįjį transportą
KET 1 pr. 801. Kelio ženklas „Atstumas iki objekto"". Nurodo kryptį ir atstumą iki objekto arba pavojingo kelio ruožo pradžios. Lentelėje nurodyto objekto (ruožo) kryptis yra tiesiai.",21.jpg
22,Ar leidžiama sustoti kelkraštyje šioje vietoje?,Draudžiama.,Leidžiama.,,,2,2,Draudžiantis sustoti ir stovėti ženklas galioja tik iki gyvenvietės pabaigos. Todėl šioje situacijoje automobiliui taip stovėti leidžiama.,22.jpg
23,Kurio automobilio vairuotojas turi duoti kelią šioje situacijoje dvipusio eismo kelyje?,Mėlyno.,Žalio.,,,1,2,"Kadangi šis kelio ruožas pažymėtas brūkšnine horizontalaus ženklinimo linija, tai žalio automobilio vairuotojas gali lenkti ir turi važiavimo pirmumą. Pagal ženklinimo liniją suprantame, kad čia yra ne sankryža, o įvažiavimas į kiemą ar teritoriją.",23.jpg
24,Kokioms transporto priemonėms leidžiama stovėti šiuo kelio ženklu pažymėtoje stovėjimo vietoje?,"Transporto priemonėms pažymėtoms skiriamuoju ženklu „Asmuo su negalia"".",Tik transporto priemonėms su specialiais leidimais.,Aptarnaujančiam transportui.,Maršrutiniam transportui.,2,1,"„Rezervuota stovėjimo vieta”. Stovėjimo vieta, kurioje transporto priemonėms leidžiama stovėti tik su specialiais leidimais. Ne elektroniniai leidimai tvirtinami už priekinio stiklo.",24.jpg
25,Kada lenkiančiojo automobilio vairuotojui yra tikslingiausia grįžti į dešinę eismo juostą?,"Tuoj pat, kai tik aplenkė.",Kai nuvažiuoja daugiau kaip 100 m nuo lenkiamojo automobilio.,Kai lenkiančiojo automobilio vairuotojas pamato lenkiamąjį automobilį galinio vaizdo veidrodėlyje.,,3,2,"Vairuotojams rekomenduojama vengti nebūtinų lenkimo manevrų. Prieš pradėdamas lenkti, vairuotojas privalo imtis papildomų atsargumo priemonių ir įsitikinti, kad:
136.1. nė vienas iš važiuojančių paskui jį vairuotojų nepradėjo jo lenkti;
136.2. transporto priemonės, kurią ketinama lenkti, vairuotojas nerodo kairiojo posūkio signalo;
136.3. lenkimui būtina eismo juostos dalis yra laisva ir nebus kliudoma priešpriešiais atvažiuojančioms transporto priemonėms arba važiuojamąja dalimi judantiems pėstiesiems;
136.4. lenkiant bus užtikrintas saugus atstumas nuo lenkiamos transporto priemonės;
136.5. baigdamas lenkti, jis galės grįžti į savo eismo juostą, nesukliudydamas lenkiamai transporto priemonei.",25.jpg
26,Kokia eilės tvarka transporto priemonės važiuos per sankryžą (baltas automobilis – su įjungtais mėlynais ir raudonais švyturėliais ir specialiaisiais garso signalais)?,"Spec. transporto priemonė, raudonas automobilis, mėlynas automobilis, geltonas automobilis.","Spec. transporto priemonė, mėlynas automobilis, raudonas automobilis, geltonas automobilis.","Spec. transporto priemonė, mėlynas automobilis, geltonas automobilis, raudonas automobilis.","Spec. transporto priemonė, geltonas automobilis, mėlynas automobilis, raudonas automobilis.",1,3,"Tai lygiareikšmė sankryža, todėl vairuotojai privalo duoti kelią iš dešinės artėjančioms transporto priemonėms, jeigu transporto priemonių važiavimo trajektorijos kertasi. Kadangi baltas automobilis yra su įjungtais mėlynais ir raudonais švyturėliais bei specialiaisiais garso signalais, jis turi pirmenybę ir važiuoja pirmas.  Tuomet likę automobiliai laikosi dešinės rankos taisyklės. Antrasis per sankryžą pravažiuoja raudonas automobilis, nes pravažiavus baltam automobiliui jis nebeturi kliūties iš dešinės. Tada važiuoja mėlynas, nes pravažiavus raudonam nebeliko kliūties dešinėje ir galiausiai – geltonas automobilis.",26.jpg
27,Ką nurodo kelio ženklas?,Rekomenduoja už ženklo važiuoti ne greičiau kaip 40 km/h.,"Draudžia visuose keliuose, esančiose teritorijoje už ženklo, važiuoti greičiau kaip 40 km/h.",Draudžia važiuoti greičiau kaip 40 km/h tik iki artimiausios sankryžos.,,2,1,"„Riboto greičio zona"". Visuose keliuose, esančiuose teritorijoje už kelio ženklo, draudžiama važiuoti greičiau (km/h), negu nurodyta ženkle. Kai nurodytas laikas, ženklas galioja tik tuo laiku.",27.jpg
28,Ar privaloma sustoti prie STOP linijos sukant į dešinę šioje situacijoje?,Privaloma.,Neprivaloma.,,,2,2,"Sustoti privaloma tik prie pritvirtintos lentelės su žalia rodykle baltame fone. Čia papildoma sekcija su žaliu signalu į dešinę, todėl sustoti nereikia.",28.jpg
29,Ką nurodo kelio ženklas ir lentelės?,Kelio vingiai prasidės už 400 m ir tęsis 100 m.,Kelio vingiai prasidės už 100 m ir tęsis 400 m.,,,1,1,"KET 1 pr. 116. „Vingiai”. Kelio ruožas su mažo spindulio arba riboto matomumo vingiais. Pirmasis vingis į kairę/dešinę.
KET 1 pr. 805. „Galiojimo zona į priekį"". Nurodo pavojingo kelio ruožo arba kitų kelio ženklų, su kuriais ji naudojama, galiojimo zonos ilgį už kelio ženklo.
KET 1 pr. 801.„Atstumas iki objekto”. Nurodo kryptį ir atstumą iki objekto arba pavojingo kelio ruožo pradžios. Lentelėje nurodyto objekto (ruožo) kryptis yra tiesiai.",29.jpg
30,Kokiu greičiu leidžiama važiuoti galingojo keturračio vairuotojui kelio ruože už šių ženklų?,90 km/h.,80 km/h.,70 km/h.,,3,1,"Ne gyvenvietėse leidžiama važiuoti:
131.6. keturračiais, galingaisiais keturračiais – ne didesniu kaip 70 km/h greičiu;",30.jpg
31,Ar leidžiama geltono automobilio vairuotojui šioje sankryžoje apsisukti?,Leidžiama.,Draudžiama.,,,2,2,"Geltono automobilio vairuotojas, norėdamas apsisukti, privalėjo iš anksto persirikiuoti į kraštinę kairę juostą ir iš jos apsisukti.",31.jpg
32,Policijos automobilio specialusis garsinis signalas įjungtas. „2“ automobilis per sankryžą važiuos:,Pirmas.,Trečias.,Antras.,Paskutinis.,2,3,"Pirmas važiuoja policijos automobilis, nes turi įjungtus švyturėlius ir garsinį signalą, todėl visi privalo jį praleisti.
1 ir 2 yra pagrindiniame kelyje, o 4 – šalutiniame, todėl jis važiuos paskutinis.
Tarp 1 ir 2 galioja dešinės rankos taisyklė: 2 turi praleisti 1, nes 1 yra jam iš dešinės.",32.jpg
33,"Kurios grupės sėdynė skirta vaikams, kurie sveria nuo 22 iki 36 kg?",III,I,II,,1,2,"Žemesni kaip 135 cm ūgio vaikai lengvuoju ar krovininiu automobiliu vežami prisegti jų ūgiui ir masei pritaikytomis vaikų prisegimo sistemomis pagal gamintojo nurodytą dydžio intervalą ir didžiausią vaiko masę arba šias grupes:
199.1. 0 grupė skirta vaikams, kurie sveria mažiau kaip 10 kg;
199.2. 0+ grupė skirta vaikams, kurie sveria mažiau kaip 13 kg;
199.3. I grupė skirta vaikams, kurie sveria nuo 9 iki 18 kg;
199.4. II grupė skirta vaikams, kurie sveria nuo 15 iki 25 kg;
199.5. III grupė skirta vaikams, kurie sveria nuo 22 iki 36 kg.",33.jpg
34,Kokią įtaką stabdymo keliui turi ratų blokavimas?,Pailgėja stabdymo kelias.,Įtakos neturi.,Sutrumpėja stabdymo kelias.,,1,1,"Kai automobilio ratai užsiblokuoja stabdymo metu, jie praranda sukibimą su kelio danga. Toks slydimas sukelia, kad stabdymo trintis tampa mažesnė nei riedant riedėjimo būdu. Dėl to automobilis lėčiau stabdo, o stabdymo kelias prailgėja. Be to, vairuotojas praranda galimybę valdyti automobilį, todėl staigūs manevrai tampa pavojingi. Šiuolaikinėse transporto priemonėse naudojama ABS sistema, kuri neleidžia ratams užsiblokuoti ir užtikrina efektyvų bei saugų stabdymą.",34.jpg
35,"Kaip važiuodami jūs galite sužinoti, ar įjungtos jūsų automobilio tolimosios žibintų šviesos?",Pagal žalią kontrolinę lemputę.,Pagal geltoną kontrolinę lemputę.,Pagal mėlyną kontrolinę lemputę.,Pagal raudoną kontrolinę lemputę.,3,1,"Automobilio prietaisų skydelyje įjungus tolimosios šviesos žibintus, paprastai įsižiebia mėlyna kontrolinė lemputė. Tai leidžia vairuotojui lengvai pamatyti, kad šviesos veikia, net jei pats negali jų tiesiogiai matyti.",35.jpg
36,"Per kiek laiko iš kraujo pasišalina 1,0 promilė alkoholio?",Per 3 valandas.,Per 6 valandas.,Per 10 valandų.,,3,2,"Organizmas vidutiniškai pašalina apie 0,1–0,15 promilės per valandą. Todėl 1,0 promilės sumažinimui iki 0 gali prireikti dažnai apie 10 valandų, jei koncentracija buvo didelė.",36.jpg
37,Kaip elgsitės šioje situacijoje (troleibusas stovi prieš perėją)?,"Privažiavę prie pėsčiųjų perėjos, sumažinsite greitį ir nematydami pėsčiųjų, važiuosite toliau.","Privažiavę prie pėsčiųjų perėjos, sustosite ir įsitikinę, kad nėra pėsčiųjų, važiuosite toliau.","Važiuosite tokiu pat greičiu kaip ir anksčiau, nekreipdami dėmesio į sustojusį troleibusą.",,2,2,"Tokioje situacijoje gali nesimatyti už troleibuso einančių pėsčiųjų, todėl jei važiuosite nesustodami, galite juos nutrenkti. Todėl prie perėjos būtina sustoti ir važiuoti tik praleidus pėsčiuosius arba įsitikinus, kad jų nėra.",37.jpg
38,"Pastatytas gyvenvietėje kelio ženklas įspėja, kad:",Pavojingas ruožas su vingiais prasidės už ženklo nuvažiavus 50-100 m.,Pavojingas ruožas su vingiais prasidės iš karto už ženklo.,Pavojingas ruožas su vingiais prasidės už ženklo nuvažiavus 150-300 m.,,1,1,"Ne gyvenvietėse 101–137, 150 įspėjamieji ženklai statomi 150–300 m, o gyvenvietėse – 50–100 m atstumu iki pavojingo kelio ruožo pradžios.",38.jpg
39,"Jeigu šioje situacijoje prie sankryžos artėja automobilis su įjungtais specialiais garso signalais ir švyturėliais (mėlynu ir raudonu), raudono automobilio vairuotojas:","Važiuos toliau niekam neduodamas kelio, nes jam dega žalias šviesoforo signalas.",Privalo duoti kelią spec. transportui.,,,2,2,Eismo dalyviai privalo nedelsdami duoti kelią artėjančioms specialiosioms transporto priemonėms su įjungtais mėlynais ir raudonais (arba tik mėlynais) švyturėliais ir specialiaisiais garso signalais ir jų lydimoms transporto priemonėms.,39.jpg
40,Kokiu maksimaliu greičiu už šio ženklo leidžiama važiuoti 6 val. ryto?,90 km/h.,70 km/h.,60 km/h.,,2,1,Kelio ženklas galioja nuo 21 val. vakaro iki 7 val. rytoj (visą naktį). Todėl galioja ir 6 val. ryto.,40.jpg
41,Kurio automobilio vairuotojas važiuos per sankryžą antras?,Krovininio automobilio.,Geltono automobilio.,Raudono automobilio.,,3,3,"Pagrindiniu keliu važiuojantys geltonas ir raudonas automobilis turi vieni kitų atžvilgiu turi laikytis važiavimo per lygiareikšmių kelių sankryžas taisyklių. Todėl geltonas važiuos pirmas, nes raudonas turi kliūtį iš dešinės (geltoną automobilį). Tuomet važiuos raudonas ir galiausiai – krovininis automobilis.",41.jpg
42,"Ar, užsidegus žaliam šviesoforo signalui, galite apsisukti?","Taip, jeigu važiuojate antra eismo juosta.",Ne.,,,1,2,"Jei kelio ženklai ir/ar kelio žymėjimas leidžia, sukti į kairę/apsisukti galima užsidegus bendram žaliam šviesoforo signalui, tik praleidus iš priekio važiuojančius automobilius, taip pat kertamu keliu einančius pėsčiuosius ir dviratininkus.",42.jpg
43,Kurio automobilio vairuotojas turi pirmenybę?,Mėlyno automobilio vairuotojas.,Raudono automobilio vairuotojas.,,,1,3,"Čia taikoma dešinės pusės taisyklė. Raudonas turi kliūtį iš dešinės, todėl važiuoja antras.",43.jpg
44,Kurio automobilio vairuotojas važiuos per sankryžą paskutinis (baltas automobilis suka į kairę)?,Balto automobilio vairuotojas.,Mėlyno automobilio vairuotojas.,Žalio automobilio vairuotojas.,,2,3,"Žalias ir baltas automobiliai yra lygiareikšmiame pagrindiniame kelyje, todėl pirmas važiuos žalias automobilis, nes baltas turi kliūtį iš dešinės (tą patį žalią automobilį). Tuomet važiuos baltas ir galiausiai – mėlynas (nes jis yra šalutiniame kelyje).",44.jpg
45,Ar leidžiamas toks lenkimo manevras šiame kelio ruože?,Taip.,Ne.,,,2,2,"Kadangi lenkimo manevras yra pradėtas prieš geležinkelio pervažą ir vyksta pervažoje, tai toks lenkimas yra KET pažeidimas.",45.jpg
46,Kokį posūkio signalą rodysite važiuodami lygiareikšmėje sankryžoje ne gyvenvietėje tiesiai?,Kairio posūkio.,Dešinio posūkio.,Nerodysiu jokio.,,3,2,"Važiuojant tiesiai posūkio signalas nerodomas, nes nekeičiama važiavimo kryptis.",46.jpg
47,Ką žymi geltonomis linijomis pažymėtas plotas važiuojamųjų dalių sankirtoje?,"Žymi vietą, į kurią įvažiuoti draudžiama, jeigu joje ar už jos yra kliūtis.",Žymi pėsčiųjų perėją.,Žymi pavojingą kelio ruožą.,,1,1,"Geltonomis linijomis pažymėtas plotas važiuojamųjų dalių sankirtoje žymi vietą, į kurią įvažiuoti draudžiama, jeigu joje ar už jos yra kliūtis, kuri priverstų vairuotoją sustoti važiuojamųjų dalių sankirtoje ir trukdyti kitų transporto priemonių eismui.",47.jpg
48,Ar kelyje dirbantis asmuo yra laikomas pėsčiuoju?,Taip.,Ne.,,,2,1,"Kelyje dirbantis asmuo – asmuo, taisantis ar prižiūrintis kelią, technines eismo reguliavimo priemones, reguliuojantis ir kontroliuojantis eismą, šalinantis nuo kelio arba aptveriantis priverstinai sustojusią transporto priemonę ar kitokią kliūtį, likviduojantis eismo įvykio ar kito nelaimingo atsitikimo padarinius, atliekantis kitus gelbėjimo darbus, teikiantis medicinos pagalbą kelyje esančiam eismo įvykio metu nukentėjusiam asmeniui ar kitam asmeniui, kuriam reikalinga medicinos pagalba.",48.jpg
49,Pradedantieji vairuotojai privalo žymėti automobilį šiuo skiriamuoju ženklu:,Tik priekyje.,Tik gale.,Priekyje ir gale.,,2,1,"Pradedantiesiems vairuotojams privaloma automobilio galinės dalies kairėje pusėje turėti baltą kvadrato formos skiriamąjį ženklą su žaliu apvadu ir žaliu klevo lapu viduryje. Kvadrato kraštinės ilgis – nuo 100 mm iki 150 mm, apvado plotis – 1/10 kraštinės ilgio.",49.jpg
